#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
OW294,OBS WELL 294 - Lumby,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW305,OBS WELL 305 - Kelowna,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW306,OBS WELL 306 - Beaverdell,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW311,OBS WELL 311 - Vernon,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW322,OBS WELL 322 - Vernon,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW332,OBS WELL 332 - Oliver,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW348,OBS WELL 348 - Oliver,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW356,OBS WELL 356 - Winfield,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW366,OBS WELL 366 - Summerland,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW387,OBS WELL 387 - Naramata,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW401,OBS WELL 401 - Osoyoos,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW402,OBS WELL 402 - Osoyoos,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW403,OBS WELL 403 - Twin Lakes,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW404,OBS WELL 404 - Twin Lakes,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW405,OBS WELL 405 - Oliver,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW407,OBS WELL 407 - Oliver,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW410,OBS WELL 410 - Kelowna,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW411,OBS WELL 411 - West Kelowna,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW413,OBS WELL 413 - Kelowna,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW442,OBS WELL 442 - Kelowna,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW467,OBS WELL 467 - Osoyoos Lake,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW487,OBS WELL 487 - Lumby,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW506,OBS WELL 506 - Okanagan River,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW512,OBS WELL 512 (DEEP) - South Okanagan Grasslands Protected Area,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
PEN001,Penticton Creek Channel Restoration Site,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
PEN002,Penticton Creek u/s of WTP,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
SHI001,Shingle Creek at Mouth at OK River,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
SHI002,Shingle Creek u/s Green Mountain Road,Locations.WATER QUALITY,Water Quality,Water Quality,Water Quality
SOGPA_GW,South Okanagan Grassland Protected Area (Shallow),Locations.GROUNDWATER.BC Groundwater Other,Groundwater,Groundwater,Groundwater
